,breed,Energy Level,Exercise Requirements,Playfulness,Affection Level,Friendliness to Dogs,Friendliness to Other Pets,Friendliness to Strangers,Watchfulness,Ease of Training,Grooming Requirements,Heat Sensitivity,Vocality
20,Beagle/Pug,3.0,2.5,4.0,4.5,4.0,4.0,3.5,1.0,2.0,1.5,4.0,4.5
21,Pointer/Labrador Retriever,4.0,3.5,4.5,4.5,4.0,4.5,4.0,2.5,4.0,1.5,3.0,4.0
22,Pembroke Welsh Corgi/Australian Cattle Dog,4.0,4.0,3.5,4.0,3.0,3.0,3.0,4.0,4.5,1.5,3.0,5.0
23,Bulldog/Australian Cattle Dog,3.0,3.0,4.0,4.5,2.0,3.0,3.0,3.0,3.5,2.0,4.0,3.0
24,Manchester Terrier/Beagle,3.0,3.0,4.0,5.0,5.0,5.0,5.0,1.0,1.0,1.0,3.0,4.0
25,Labrador Retriever/Pit Bull,4.0,3.0,5.0,5.0,4.0,5.0,5.0,2.0,5.0,2.0,3.0,4.0
26,Labrador Retriever/Border Collie,4.5,4.0,4.5,4.0,3.5,3.0,3.5,2.5,5.0,2.5,3.0,4.0
27,Rottweiler/Labrador Retriever,3.5,3.0,3.5,3.5,2.5,3.5,3.0,3.5,4.0,1.5,3.5,4.5
28,Collie Smooth/Labrador Retriever,4.0,3.0,5.0,5.0,4.0,5.0,5.0,2.0,5.0,2.0,3.0,4.0
29,Australian Shepherd/Border Collie,4.5,5.0,4.5,3.5,3.0,2.0,2.0,3.5,5.0,3.0,3.0,4.5
30,Anatol Shepherd/Labrador Retriever,4.0,3.0,5.0,5.0,4.0,5.0,5.0,2.0,5.0,2.0,3.0,4.0
31,Beagle/Chinese Sharpei,3.0,3.0,4.0,5.0,5.0,5.0,5.0,1.0,1.0,1.0,3.0,4.0
32,Pit Bull/Boxer,5.0,3.0,5.0,5.0,3.0,3.0,3.0,5.0,3.0,1.0,5.0,3.0
33,Plott Hound/Labrador Retriever,3.5,3.0,4.0,4.0,3.0,3.5,3.5,3.0,3.5,1.5,3.0,4.0
34,Dachshund/Jack Russell Terrier,4.5,3.0,4.0,3.0,2.5,1.5,2.0,2.0,2.5,2.5,3.0,5.0
35,Lhasa Apso/Miniature Poodle,3.5,2.5,4.0,3.5,3.0,3.0,2.5,1.0,3.0,4.5,3.5,5.0
36,Yorkshire Terrier/Miniature Poodle,4.0,2.0,4.5,3.5,3.0,2.5,3.5,1.0,3.5,4.5,3.5,5.0
37,Miniature Poodle/Lhasa Apso,3.5,2.5,4.0,3.5,3.0,3.0,2.5,1.0,3.0,4.5,3.5,5.0
38,Miniature Pinscher/Chihuahua Shorthair,5.0,2.0,5.0,3.0,2.0,1.0,1.0,1.0,1.0,1.0,3.0,5.0
39,Chihuahua Shorthair/Italian Greyhound,3.0,2.5,3.0,4.0,3.5,3.0,2.5,1.5,3.0,1.0,3.0,2.5
41,Great Dane/Mastiff,1.5,2.0,1.5,4.0,2.5,3.0,3.0,3.5,3.0,1.0,4.0,4.5
42,Dachshund/Beagle,3.5,2.5,3.5,4.0,4.0,3.5,3.0,1.5,1.5,1.5,3.0,4.5
43,Chihuahua Shorthair/Australian Cattle Dog,5.0,5.0,4.0,4.0,3.0,2.0,2.0,4.0,5.0,2.0,3.0,5.0
44,Labrador Retriever/Flat Coat Retriever,4.0,3.0,5.0,5.0,4.0,5.0,5.0,2.0,5.0,2.0,3.0,4.0
45,Labrador Retriever/Catahoula,4.0,3.0,5.0,5.0,4.0,5.0,5.0,2.0,5.0,2.0,3.0,4.0
46,Australian Shepherd/English Springer Spaniel,3.5,4.5,4.5,4.5,3.0,4.0,3.0,3.0,5.0,3.5,3.0,4.5
47,Chihuahua Shorthair/Jack Russell Terrier,5.0,4.0,5.0,3.0,2.0,1.0,3.0,2.0,3.0,3.0,3.0,5.0
48,Boxer/Catahoula,5.0,3.0,5.0,5.0,3.0,3.0,3.0,5.0,3.0,1.0,5.0,3.0
49,Rat Terrier/Chihuahua Shorthair,4.0,3.0,5.0,4.0,3.0,3.0,2.0,2.0,4.0,1.0,2.0,5.0
51,Great Dane/Anatol Shepherd,2.0,2.0,2.0,4.0,2.0,2.0,4.0,3.0,3.0,1.0,4.0,4.0
53,Golden Retriever/Great Pyrenees,2.0,3.0,3.5,4.0,3.5,4.0,3.5,3.0,3.0,3.0,4.0,4.0
54,American Bulldog/Labrador Retriever,2.5,2.0,4.5,5.0,2.5,4.5,4.5,2.0,3.5,2.0,4.0,2.5
55,Catahoula/Australian Cattle Dog,5.0,5.0,4.0,4.0,3.0,2.0,2.0,4.0,5.0,2.0,3.0,5.0
56,Pug/Beagle,3.0,2.5,4.0,4.5,4.0,4.0,3.5,1.0,2.0,1.5,4.0,4.5
58,Chihuahua Shorthair/Miniature Pinscher,5.0,2.0,5.0,3.0,2.0,1.0,1.0,1.0,1.0,1.0,3.0,5.0
59,Border Collie/Labrador Retriever,4.5,4.0,4.5,4.0,3.5,3.0,3.5,2.5,5.0,2.5,3.0,4.0
60,Black/Tan Hound/German Shepherd,3.0,4.0,2.0,3.0,1.0,3.0,2.0,5.0,5.0,2.0,3.0,5.0
61,Miniature Poodle/Cocker Spaniel,4.0,3.0,5.0,4.0,4.0,3.0,4.0,1.0,5.0,5.0,3.0,5.0
62,Redbone Hound/Boxer,5.0,3.0,5.0,5.0,3.0,3.0,3.0,5.0,3.0,1.0,5.0,3.0
63,Plott Hound/Pit Bull,3.0,3.0,3.0,3.0,2.0,2.0,2.0,4.0,2.0,1.0,3.0,4.0
64,Golden Retriever/Labrador Retriever,3.5,3.0,5.0,5.0,4.5,5.0,5.0,2.0,5.0,2.5,3.0,3.5
65,Chihuahua Shorthair/Beagle,3.0,3.0,4.0,5.0,5.0,5.0,5.0,1.0,1.0,1.0,3.0,4.0
66,American Staffordshire Terrier/Labrador Retriever,3.5,3.0,4.0,4.0,2.5,3.0,4.0,3.5,4.5,1.5,3.0,4.5
67,Rat Terrier/Dachshund,4.0,2.5,4.0,3.5,3.0,2.5,1.5,2.0,3.0,1.5,2.5,5.0
68,Cairn Terrier/Miniature Schnauzer,3.5,3.0,3.5,3.5,3.0,2.0,2.0,1.0,2.0,3.0,3.0,5.0
69,Labrador Retriever/Australian Kelpie,4.0,3.0,5.0,5.0,4.0,5.0,5.0,2.0,5.0,2.0,3.0,4.0
70,Boxer/Doberman Pinsch,5.0,3.0,5.0,5.0,3.0,3.0,3.0,5.0,3.0,1.0,5.0,3.0
71,Chihuahua Shorthair/Rat Terrier,4.0,3.0,5.0,4.0,3.0,3.0,2.0,2.0,4.0,1.0,2.0,5.0
72,Blue Lacy/Beagle,3.0,3.0,4.0,5.0,5.0,5.0,5.0,1.0,1.0,1.0,3.0,4.0
73,Dachshund/Chihuahua Shorthair,4.0,2.0,3.0,3.0,3.0,2.0,1.0,2.0,2.0,2.0,3.0,5.0
74,Labrador Retriever/Basset Hound,3.0,2.5,3.5,4.5,3.5,4.0,4.0,1.5,3.5,2.0,3.0,3.5
75,Blue Lacy/Great Dane,2.0,2.0,2.0,4.0,2.0,2.0,4.0,3.0,3.0,1.0,4.0,4.0
76,Irish Setter/Pit Bull,5.0,5.0,5.0,5.0,3.0,3.0,5.0,1.0,3.0,3.0,3.0,4.0
77,Australian Kelpie/Whippet,3.0,3.0,3.0,4.0,5.0,4.0,3.0,1.0,3.0,1.0,3.0,4.0
78,Labrador Retriever/Rhod Ridgeback,4.0,3.0,5.0,5.0,4.0,5.0,5.0,2.0,5.0,2.0,3.0,4.0
79,Rottweiler/German Shepherd,3.0,3.5,2.0,2.5,1.0,2.5,1.5,5.0,4.0,1.5,3.5,5.0
80,Labrador Retriever/Rottweiler,3.5,3.0,3.5,3.5,2.5,3.5,3.0,3.5,4.0,1.5,3.5,4.5
81,Labrador Retriever/Blue Lacy,4.0,3.0,5.0,5.0,4.0,5.0,5.0,2.0,5.0,2.0,3.0,4.0
82,American Bulldog/Pit Bull,1.0,1.0,4.0,5.0,1.0,4.0,4.0,2.0,2.0,2.0,5.0,1.0
83,Norfolk Terrier/Yorkshire Terrier,4.0,2.0,3.5,2.0,2.5,2.5,3.0,1.0,2.0,3.5,3.5,5.0
84,Labrador Retriever/Collie Smooth,4.0,3.0,5.0,5.0,4.0,5.0,5.0,2.0,5.0,2.0,3.0,4.0
85,Chihuahua Shorthair/Welsh Terrier,3.0,3.0,3.0,3.0,3.0,1.0,1.0,1.0,1.0,4.0,3.0,5.0
86,Australian Cattle Dog/Labrador Retriever,4.5,4.0,4.5,4.5,3.5,3.5,3.5,3.0,5.0,2.0,3.0,4.5
87,Siberian Husky/Australian Cattle Dog,4.0,4.5,4.0,4.0,3.0,2.5,3.5,2.5,3.0,2.5,4.0,4.0
88,Pomeranian/Shetland Sheepdog,3.5,2.0,3.5,2.0,2.5,3.5,1.0,1.0,3.0,3.5,3.0,5.0
89,Dachshund Wirehair/Chihuahua Shorthair,4.0,2.0,3.0,3.0,3.0,2.0,1.0,2.0,2.0,2.0,3.0,5.0
90,Labrador Retriever/Dachshund,4.0,2.5,4.0,4.0,3.5,3.5,3.0,2.0,3.5,2.0,3.0,4.5
91,German Shepherd/Siberian Husky,3.0,4.0,3.0,3.5,2.0,3.0,3.5,3.0,3.0,2.5,4.0,4.0
92,Boston Terrier/Pug,3.0,1.5,3.5,3.5,3.0,3.5,2.5,1.0,3.0,1.5,5.0,5.0
94,Black Mouth Cur/German Shepherd,3.0,4.0,2.0,3.0,1.0,3.0,2.0,5.0,5.0,2.0,3.0,5.0
95,Pomeranian/Border Terrier,3.5,2.0,3.5,2.0,2.0,2.5,2.0,1.0,2.5,3.0,3.0,4.5
96,Australian Shepherd/Plott Hound,3.5,4.0,4.0,3.5,2.5,2.5,2.0,4.0,3.5,2.0,3.0,4.5
97,Great Pyrenees/German Shepherd,2.0,3.5,2.0,3.0,1.5,3.0,2.0,4.5,3.0,2.5,4.0,5.0
98,Australian Shepherd/Alaskan Malamute,3.5,4.5,4.0,4.5,2.0,2.0,3.0,3.5,3.0,3.0,4.0,4.0
99,Lhasa Apso/Miniature Schnauzer,3.0,2.5,3.5,3.5,2.5,3.0,2.0,1.0,2.0,3.5,3.5,5.0
100,Miniature Poodle/Yorkshire Terrier,4.0,2.0,4.5,3.5,3.0,2.5,3.5,1.0,3.5,4.5,3.5,5.0
101,Labrador Retriever/Beagle,3.5,3.0,4.5,5.0,4.5,5.0,5.0,1.5,3.0,1.5,3.0,4.0
102,Border Collie/Australian Cattle Dog,5.0,5.0,4.0,3.5,3.0,1.5,2.0,3.5,5.0,2.5,3.0,4.5
103,Labrador Retriever/Golden Retriever,3.5,3.0,5.0,5.0,4.5,5.0,5.0,2.0,5.0,2.5,3.0,3.5
104,Chihuahua Longhair/Maltese,4.0,1.0,4.0,3.0,3.0,3.0,1.0,1.0,3.0,3.0,4.0,5.0
105,Pointer/Collie Smooth,4.0,4.0,4.0,4.0,4.0,4.0,3.0,3.0,3.0,1.0,3.0,4.0
106,Chinese Sharpei/Bull Terrier,4.0,3.0,5.0,3.0,1.0,3.0,3.0,4.0,1.0,1.0,3.0,5.0
107,Labrador Retriever/Great Dane,3.0,2.5,3.5,4.5,3.0,3.5,4.5,2.5,4.0,1.5,3.5,4.0
109,Pointer/American Pit Bull Terrier,4.0,3.5,4.5,3.5,2.5,3.5,3.0,3.5,2.0,1.0,3.0,4.5
110,Rat Terrier/Australian Cattle Dog,4.5,4.0,4.5,4.0,3.0,2.5,2.0,3.0,4.5,1.5,2.5,5.0
111,Dachshund/Australian Cattle Dog,4.5,3.5,3.5,3.5,3.0,2.0,1.5,3.0,3.5,2.0,3.0,5.0
112,Labrador Retriever/Cocker Spaniel,4.0,3.0,5.0,5.0,4.0,5.0,5.0,2.0,5.0,2.0,3.0,4.0
113,Labrador Retriever/Boxer,4.5,3.0,5.0,5.0,3.5,4.0,4.0,3.5,4.0,1.5,4.0,3.5
114,Border Collie/German Shepherd,4.0,4.5,3.0,3.0,2.0,2.0,2.0,4.0,5.0,2.5,3.0,4.5
115,Pointer/Catahoula,4.0,4.0,4.0,4.0,4.0,4.0,3.0,3.0,3.0,1.0,3.0,4.0
116,Redbone Hound/Labrador Retriever,4.0,3.0,5.0,5.0,4.0,5.0,5.0,2.0,5.0,2.0,3.0,4.0
117,German Shepherd/Australian Cattle Dog,4.0,4.5,3.0,3.5,2.0,2.5,2.0,4.5,5.0,2.0,3.0,5.0
118,Beagle/Jack Russell Terrier,4.0,3.5,4.5,4.0,3.5,3.0,4.0,1.5,2.0,2.0,3.0,4.5
119,Dachshund/Manchester Terrier,4.0,2.0,3.0,3.0,3.0,2.0,1.0,2.0,2.0,2.0,3.0,5.0
120,Chihuahua Shorthair/German Shepherd,3.0,4.0,2.0,3.0,1.0,3.0,2.0,5.0,5.0,2.0,3.0,5.0
121,Chow Chow/American Eskimo,1.0,2.0,1.0,2.0,1.0,3.0,1.0,4.0,1.0,3.0,5.0,5.0
122,Labrador Retriever/Chesa Bay Retr,4.0,3.0,5.0,5.0,4.0,5.0,5.0,2.0,5.0,2.0,3.0,4.0
123,Rhod Ridgeback/Labrador Retriever,4.0,3.0,5.0,5.0,4.0,5.0,5.0,2.0,5.0,2.0,3.0,4.0
124,Border Collie/Australian Shepherd,4.5,5.0,4.5,3.5,3.0,2.0,2.0,3.5,5.0,3.0,3.0,4.5
125,American Pit Bull Terrier/American Bulldog,2.5,2.0,4.5,4.0,1.0,3.5,3.5,3.0,1.5,1.5,4.0,3.0
126,Pit Bull/Australian Cattle Dog,5.0,5.0,4.0,4.0,3.0,2.0,2.0,4.0,5.0,2.0,3.0,5.0
127,Labrador Retriever/Australian Shepherd,4.0,4.0,5.0,4.5,3.5,4.0,3.5,3.0,5.0,2.5,3.0,4.5
128,Dachshund/Rat Terrier,4.0,2.5,4.0,3.5,3.0,2.5,1.5,2.0,3.0,1.5,2.5,5.0
129,Chihuahua Shorthair/Toy Fox Terrier,4.0,2.0,5.0,5.0,3.0,3.0,2.0,2.0,4.0,1.0,3.0,5.0
130,Australian Cattle Dog/Pit Bull,5.0,5.0,4.0,4.0,3.0,2.0,2.0,4.0,5.0,2.0,3.0,5.0
131,Maltese/Yorkshire Terrier,4.0,1.0,4.0,3.0,2.5,2.5,2.0,1.0,2.5,3.5,4.0,5.0
132,Parson Russell Terrier/Beagle,4.0,3.5,4.5,4.0,3.5,3.0,4.0,1.5,2.0,2.0,3.0,4.5
133,Australian Kelpie/American Pit Bull Terrier,4.0,3.0,5.0,3.0,1.0,3.0,3.0,4.0,1.0,1.0,3.0,5.0
135,Jack Russell Terrier/Beagle,4.0,3.5,4.5,4.0,3.5,3.0,4.0,1.5,2.0,2.0,3.0,4.5
136,Dachshund Wirehair/Standard Poodle,4.0,2.0,3.0,3.0,3.0,2.0,1.0,2.0,2.0,2.0,3.0,5.0
138,Cairn Terrier/Yorkshire Terrier,4.0,2.0,3.5,3.0,2.5,1.5,2.0,1.0,1.5,3.5,3.5,5.0
139,Dachshund/Harrier,4.0,3.0,3.0,3.0,4.0,2.5,2.5,1.5,2.0,1.5,3.0,5.0
140,Maltese/Toy Poodle,4.0,1.0,4.0,3.0,3.0,3.0,1.0,1.0,3.0,3.0,4.0,5.0
141,Pug/Chihuahua Shorthair,3.0,2.0,4.0,4.0,3.0,3.0,2.0,1.0,3.0,2.0,5.0,5.0
142,Labrador Retriever/Bloodhound,3.5,3.0,3.0,5.0,3.5,5.0,4.0,1.5,3.0,1.5,3.5,4.0
143,Catahoula/Pointer,4.0,4.0,4.0,4.0,4.0,4.0,3.0,3.0,3.0,1.0,3.0,4.0
144,Treeing Walker Coonhound/Australian Cattle Dog,5.0,5.0,4.0,4.0,3.0,2.0,2.0,4.0,5.0,2.0,3.0,5.0
146,Labrador Retriever/Chinese Sharpei,4.0,3.0,5.0,5.0,4.0,5.0,5.0,2.0,5.0,2.0,3.0,4.0
147,Border Collie/Anatol Shepherd,5.0,5.0,4.0,3.0,3.0,1.0,2.0,3.0,5.0,3.0,3.0,4.0
148,Miniature Poodle/Miniature Schnauzer,3.5,3.0,4.5,4.0,3.5,3.0,3.5,1.0,4.0,4.0,3.0,5.0
149,Beagle/German Shepherd,3.0,3.5,3.0,4.0,3.0,4.0,3.5,3.0,3.0,1.5,3.0,4.5
150,Whippet/Australian Kelpie,3.0,3.0,3.0,4.0,5.0,4.0,3.0,1.0,3.0,1.0,3.0,4.0
151,Chihuahua Shorthair/Cairn Terrier,4.0,3.0,3.0,3.0,3.0,1.0,1.0,1.0,1.0,3.0,3.0,5.0
152,Great Pyrenees/Australian Cattle Dog,3.0,4.0,3.0,3.5,2.5,2.5,2.0,4.0,3.0,2.5,4.0,5.0
153,Border Collie/American Staffordshire Terrier,4.0,4.0,3.5,3.0,2.0,1.0,2.5,4.0,4.5,2.0,3.0,4.5
154,Australian Cattle Dog/Collie Rough,5.0,5.0,4.0,4.0,3.0,2.0,2.0,4.0,5.0,2.0,3.0,5.0
155,Beagle/Border Terrier,3.0,3.0,3.5,4.0,4.0,3.5,4.0,1.0,2.5,2.0,3.0,4.0
156,Labrador Retriever/Pointer,4.0,3.5,4.5,4.5,4.0,4.5,4.0,2.5,4.0,1.5,3.0,4.0
157,Bull Terrier/Border Collie,4.5,4.0,4.5,3.0,2.0,2.0,2.5,3.5,3.0,2.0,3.0,4.5
158,Border Collie/Shetland Sheepdog,4.0,4.0,3.5,3.0,3.5,2.5,1.5,2.0,5.0,3.5,3.0,4.5
159,Australian Kelpie/Dachshund,4.0,2.0,3.0,3.0,3.0,2.0,1.0,2.0,2.0,2.0,3.0,5.0
160,Australian Shepherd/Labrador Retriever,4.0,4.0,5.0,4.5,3.5,4.0,3.5,3.0,5.0,2.5,3.0,4.5
161,Labrador Retriever/Great Pyrenees,2.5,3.0,3.5,4.0,3.0,4.0,3.5,3.0,3.0,2.5,4.0,4.5
162,Cairn Terrier/Chihuahua Longhair,4.0,3.0,3.0,3.0,3.0,1.0,1.0,1.0,1.0,3.0,3.0,5.0
163,Blue Lacy/American Bulldog,1.0,1.0,4.0,5.0,1.0,4.0,4.0,2.0,2.0,2.0,5.0,1.0
165,Basenji/Jack Russell Terrier,4.5,3.5,4.0,3.0,2.0,1.0,3.0,1.5,2.5,2.0,3.0,5.0
166,German Shorthair Pointer/Australian Cattle Dog,4.5,4.5,4.0,4.0,3.5,3.0,2.5,3.5,4.0,1.5,3.0,4.5
167,Boxer/Queensland Heeler,5.0,3.0,5.0,5.0,3.0,3.0,3.0,5.0,3.0,1.0,5.0,3.0
168,Labrador Retriever/Australian Cattle Dog,4.5,4.0,4.5,4.5,3.5,3.5,3.5,3.0,5.0,2.0,3.0,4.5
169,Border Collie/Dachshund,4.5,3.5,3.5,3.0,3.0,1.5,1.5,2.5,3.5,2.5,3.0,4.5
170,Labrador Retriever/Greyhound,3.0,3.0,4.0,4.0,3.5,3.5,4.0,2.0,4.0,1.5,3.5,3.0
171,Australian Kelpie/Labrador Retriever,4.0,3.0,5.0,5.0,4.0,5.0,5.0,2.0,5.0,2.0,3.0,4.0
172,Plott Hound/Carolina Dog,3.0,3.0,3.0,3.0,2.0,2.0,2.0,4.0,2.0,1.0,3.0,4.0
173,Maltese/Papillon,4.0,1.0,4.5,4.0,3.5,3.5,2.5,1.0,4.0,3.0,3.5,5.0
174,Pointer/Australian Cattle Dog,4.5,4.5,4.0,4.0,3.5,3.0,2.5,3.5,4.0,1.5,3.0,4.5
175,Basset Hound/Labrador Retriever,3.0,2.5,3.5,4.5,3.5,4.0,4.0,1.5,3.5,2.0,3.0,3.5
177,Beagle/Chihuahua Shorthair,3.0,3.0,4.0,5.0,5.0,5.0,5.0,1.0,1.0,1.0,3.0,4.0
178,Maltese/Chihuahua Shorthair,4.0,1.0,4.0,3.0,3.0,3.0,1.0,1.0,3.0,3.0,4.0,5.0
179,Border Collie/Chow Chow,3.0,3.5,2.5,2.5,2.0,2.0,1.5,3.5,3.0,3.0,4.0,4.5
180,Catahoula/Australian Shepherd,4.0,5.0,5.0,4.0,3.0,3.0,2.0,4.0,5.0,3.0,3.0,5.0
181,Jack Russell Terrier/Chihuahua Shorthair,5.0,4.0,5.0,3.0,2.0,1.0,3.0,2.0,3.0,3.0,3.0,5.0
182,German Shepherd/Rottweiler,3.0,3.5,2.0,2.5,1.0,2.5,1.5,5.0,4.0,1.5,3.5,5.0
183,Dachshund/Miniature Pinscher,4.5,2.0,4.0,3.0,2.5,1.5,1.0,1.5,1.5,1.5,3.0,5.0
184,Labrador Retriever/Standard Poodle,4.0,3.0,5.0,5.0,4.0,5.0,5.0,2.0,5.0,2.0,3.0,4.0
186,Shetland Sheepdog/Dachshund Longhair,3.5,2.5,3.0,3.0,3.5,3.0,1.0,1.5,3.5,3.0,3.0,5.0
187,German Shepherd/Collie Smooth,3.0,4.0,2.0,3.0,1.0,3.0,2.0,5.0,5.0,2.0,3.0,5.0
188,Dachshund/Pit Bull,4.0,2.0,3.0,3.0,3.0,2.0,1.0,2.0,2.0,2.0,3.0,5.0
189,Chihuahua Shorthair/Pug,3.0,2.0,4.0,4.0,3.0,3.0,2.0,1.0,3.0,2.0,5.0,5.0
190,Miniature Schnauzer/Australian Cattle Dog,4.0,4.0,4.0,4.0,3.0,2.5,2.5,2.5,4.0,2.5,3.0,5.0
191,Great Pyrenees/Standard Poodle,1.0,3.0,2.0,3.0,2.0,3.0,2.0,4.0,1.0,3.0,5.0,5.0
192,Beagle/Dachshund,3.5,2.5,3.5,4.0,4.0,3.5,3.0,1.5,1.5,1.5,3.0,4.5
193,Basset Hound/Australian Cattle Dog,3.5,3.5,3.0,4.0,3.0,2.5,2.5,2.5,3.5,2.0,3.0,4.0
194,Jack Russell Terrier/Maltese,4.5,2.5,4.5,3.0,2.5,2.0,2.0,1.5,3.0,3.0,3.5,5.0
195,Shetland Sheepdog/Cardigan Welsh Corgi,3.0,3.0,3.0,3.0,3.0,4.0,2.0,2.5,4.5,2.5,3.0,5.0
196,Wire Hair Fox Terrier/Beagle,3.0,3.0,4.0,5.0,5.0,5.0,5.0,1.0,1.0,1.0,3.0,4.0
197,Chow Chow/German Shepherd,2.0,3.0,1.5,2.5,1.0,3.0,1.5,4.5,3.0,2.5,4.0,5.0
198,Boxer/Staffordshire,5.0,3.0,5.0,5.0,3.0,3.0,3.0,5.0,3.0,1.0,5.0,3.0
200,Miniature Schnauzer/Yorkshire Terrier,3.5,2.0,4.0,3.5,2.5,2.5,3.0,1.0,2.5,3.5,3.5,5.0
201,Australian Cattle Dog/Black Mouth Cur,5.0,5.0,4.0,4.0,3.0,2.0,2.0,4.0,5.0,2.0,3.0,5.0
202,Basenji/Chihuahua Shorthair,4.0,3.0,3.0,3.0,2.0,1.0,3.0,1.0,2.0,1.0,3.0,5.0
203,Dachshund/Labrador Retriever,4.0,2.5,4.0,4.0,3.5,3.5,3.0,2.0,3.5,2.0,3.0,4.5
204,Miniature Poodle/Dachshund,4.0,2.5,4.0,3.5,3.5,2.5,2.5,1.5,3.5,3.5,3.0,5.0
205,Beagle/Parson Russell Terrier,4.0,3.5,4.5,4.0,3.5,3.0,4.0,1.5,2.0,2.0,3.0,4.5
207,Border Collie/Jack Russell Terrier,5.0,4.5,4.5,3.0,2.5,1.0,2.5,2.5,4.0,3.0,3.0,4.5
208,English Springer Spaniel/Cardigan Welsh Corgi,3.0,3.5,3.5,4.0,2.5,4.5,3.5,3.0,4.5,2.5,3.0,4.5
209,Chow Chow/Labrador Retriever,2.5,2.5,3.0,3.5,2.5,4.0,3.0,3.0,3.0,2.5,4.0,4.5
210,Miniature Poodle/Labrador Retriever,4.0,3.0,5.0,4.5,4.0,4.0,4.5,1.5,5.0,3.5,3.0,4.5
211,Akita/Australian Cattle Dog,4.0,4.0,3.5,3.5,2.0,2.0,1.5,4.0,4.0,2.0,4.0,5.0
212,Yorkshire Terrier/Pomeranian,4.0,1.0,4.0,2.0,1.5,2.5,2.0,1.0,1.5,3.5,3.5,5.0
213,Miniature Pinscher/Smooth Fox Terrier,4.5,2.5,4.5,3.5,2.5,1.5,2.5,1.0,2.5,1.0,3.0,5.0
214,Dalmatian/Labrador Retriever,4.0,3.0,4.0,5.0,3.5,4.0,4.0,2.5,4.0,2.0,3.0,4.0
215,Border Terrier/Yorkshire Terrier,3.5,2.0,3.5,3.0,2.5,2.0,3.0,1.0,3.0,3.5,3.5,4.5
216,Labrador Retriever/American Bulldog,2.5,2.0,4.5,5.0,2.5,4.5,4.5,2.0,3.5,2.0,4.0,2.5
217,Shih Tzu/Miniature Schnauzer,3.0,2.0,4.0,4.0,3.5,3.5,3.5,1.0,2.5,3.5,4.0,4.0
218,Labrador Retriever/Jack Russell Terrier,4.5,3.5,5.0,4.0,3.0,3.0,4.0,2.0,4.0,2.5,3.0,4.5
219,Queensland Heeler/Dachshund,4.0,2.0,3.0,3.0,3.0,2.0,1.0,2.0,2.0,2.0,3.0,5.0
